system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
86,450.5,813.5,858.5,1470.0,2535.0,2762.0,2962.5,2252.0,1445.5,2944.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6225399353836,35.68310429461667]}"
87,679.0,939.0,1218.0,1448.0,1613.0,1772.0,2042.0,2280.0,1482.0,2085.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.0863401165745,34.956816387406036]}"
88,741.0,1051.0,1550.0,1827.0,2004.0,2169.0,2425.0,3238.0,2395.0,2497.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.88529715598857,34.92636349927438]}"
89,629.0,974.0,1434.0,1786.0,2062.0,2242.5,2496.0,3074.5,2050.0,2544.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.23186719260187,35.14115068370736]}"
90,420.0,636.0,932.0,1217.0,1350.0,1588.0,1710.0,2196.0,1401.0,1795.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.59047007974054,34.85171349916405]}"
91,430.0,677.0,918.0,1239.0,1607.0,1762.0,1913.0,1977.0,1286.0,1949.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.54842892444374,35.55698082872628]}"
92,481.0,705.0,1026.0,1244.0,1330.0,1489.0,1667.0,1950.0,1265.0,1694.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.53495419518195,35.5480875074135]}"
93,624.0,936.0,1184.0,1617.0,2080.0,2194.0,2345.0,2529.0,2146.0,2385.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.94620293225186,34.881627398125225]}"
94,700.5,998.0,1474.0,1713.0,1779.5,1964.5,2159.0,3323.5,2819.5,2224.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.33265816748009,35.34542757931614]}"
95,741.0,1083.0,1505.0,1750.0,1887.0,2024.0,2229.0,2850.0,2115.0,2282.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.92626033294441,35.01044580986797]}"
96,511.5,772.0,1058.0,1364.0,1661.0,1840.0,2064.5,2691.5,1816.0,2144.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.17850726472517,35.50928028713954]}"
97,646.0,1080.0,1510.0,2046.0,2652.0,2826.0,3061.0,3258.0,2182.0,3160.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.92976376255248,34.81614021391292]}"
98,620.0,959.0,1438.5,1825.5,2020.5,2203.5,2397.0,2675.0,1851.5,2495.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60475329275803,35.60872378909157]}"
99,423.0,694.5,846.0,1201.0,1588.0,1731.5,1879.5,2419.0,1774.0,1952.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.2523487810798,34.81101981679343]}"
100,441.5,643.0,925.0,1095.0,1137.0,1273.0,1417.0,1720.5,1132.0,1482.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.5120471554369,35.18723425778269]}"
101,378.5,567.0,777.0,976.5,1191.5,1279.5,1414.0,1807.0,1231.0,1481.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.09810347251462,35.84237559449106]}"
102,546.0,772.5,1170.5,1414.0,1525.0,1699.5,1919.5,2446.0,1710.5,2004.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.24632549439434,35.27562848174005]}"
103,668.5,998.5,1424.5,1727.0,1866.5,2039.0,2235.0,3011.0,2268.5,2302.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.14266448488881,35.19451061158406]}"
104,559.0,846.0,1108.0,1433.5,1741.0,1880.5,2060.0,2517.0,1849.0,2055.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83732711981658,35.16702216389]}"
105,710.0,1081.0,1441.0,1966.0,2539.0,2743.0,3068.0,3227.0,2211.0,3006.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.07771628984696,34.927441477615325]}"
106,616.0,900.0,1192.0,1483.0,1763.0,1934.0,2100.0,2995.0,2078.0,2143.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.21273307705013,34.886478300659476]}"
