system:index,B02,B03,B04,B05,B06,B07,B08,B11,B12,B8A,crop_label,.geo
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.97661796006409,38.733782999486564]}"
131,2015.0,2188.0,2183.0,2541.5,2919.0,3026.5,3216.5,3026.5,2599.0,3173.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.61495622667756,38.2185093525156]}"
132,274.0,473.5,432.5,877.5,1460.0,1639.0,1796.5,1635.5,1022.0,1904.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.28967626229789,38.08510953282386]}"
133,291.0,459.0,585.0,893.0,1185.0,1464.0,1570.0,1923.0,1371.0,1599.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.24574864490444,38.47695465975679]}"
134,403.0,550.0,423.0,813.0,1814.0,2065.0,2277.0,1784.0,1192.0,2348.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56294377172705,38.18913444272489]}"
135,378.0,597.5,645.5,1045.0,1569.5,1734.5,1886.5,2359.5,1778.5,1985.5,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.08216543166628,38.14655429825763]}"
136,489.0,602.0,862.0,1105.0,1255.0,1417.0,1598.0,2778.0,2241.0,1735.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.06734322947831,38.08295357614197]}"
137,440.0,604.0,673.0,961.0,1388.0,1530.5,1655.0,1865.5,1480.0,1702.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.37402806747671,38.19129039940678]}"
138,181.0,387.0,338.0,1077.0,2036.0,2322.0,2484.0,1486.0,810.0,2559.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.10705333931824,38.278876139608435]}"
139,287.0,626.0,316.0,1071.0,2451.0,2675.0,2893.0,1711.0,900.0,2849.0,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.32211001833646,38.260281013227164]}"
