system:index,crop_label,topo_aspect,topo_elevation,topo_slope,topo_tpi,topo_twi,.geo
154,0,90.0,35.0,1.1092734,-1.7539432,3.9443967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.03741610397296,33.27772955336446]}"
155,0,281.7643,44.0,4.5395317,2.0347004,2.5333076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.07245040005361,33.587109337215225]}"
156,0,309.81003,37.0,1.448343,-1.148265,3.6775937,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79756592311304,33.543720708992254]}"
157,0,50.57836,51.0,1.4602481,-3.630915,3.669404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.30825816213499,34.71036276847827]}"
158,0,50.420708,58.0,1.4553841,0.028391168,3.672742,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.39692188067758,34.242520168508825]}"
159,0,90.0,62.0,3.373279,0.851735,2.8311853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.40743216950179,34.52252504256888]}"
160,0,180.0,48.0,2.7802885,-2.230284,3.0248868,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.26190509347443,34.599869988531566]}"
161,0,180.0,46.0,0.92740995,1.6719242,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.98055274648819,34.12933244270977]}"
162,0,90.0,54.0,2.250612,1.1735016,3.2365103,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.00184281872183,34.534113309734025]}"
163,0,50.27989,41.0,2.9002934,-0.66561514,2.9825604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.25669029054468,33.81806619676235]}"
164,0,-0.0,52.0,0.92740995,1.5299685,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.4628536482501,34.45407341791898]}"
165,0,202.03928,51.0,2.9990838,-0.6340694,2.9490063,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.14763938933442,34.572920530007984]}"
166,0,-0.0,37.0,0.92740995,1.3028392,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.298192456671,33.16319435463922]}"
167,0,180.0,38.0,0.92740995,-2.8454258,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.02690581514875,33.56959218917489]}"
168,0,129.70473,48.0,2.9012291,1.2271293,2.9822373,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.4262967904683,33.86468876000815]}"
169,0,-0.0,51.0,0.0,-0.6309148,6.9077554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.04415346860385,34.54731854441058]}"
170,0,270.0,34.0,1.1083541,-2.2649841,3.9452262,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.1422494976297,33.20523550993602]}"
171,0,148.836,57.0,2.1667876,0.23343849,3.2745044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-91.73675455266,34.231740385099386]}"
172,0,90.0,33.0,2.218365,-0.4511041,3.2509568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.41515310666337,33.303331538961864]}"
173,0,-0.0,38.0,0.92740995,1.659306,4.1234994,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33268776358119,33.58010247799909]}"
174,0,230.27477,42.0,2.899982,-2.0504732,2.982668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.96842549015257,33.80243551081867]}"
